drqv2_aug_pixels-True-contrast-14.0,drqv2_aug_pixels-True-contrast-1.2,drqv2_aug_pixels-True-contrast-12.5,drqv2_aug_pixels-True-contrast-3.0,drqv2_aug_pixels-True-contrast-1.4,drqv2_aug_pixels-True-contrast-1.3,drqv2_aug_pixels-True-contrast-9.0,drqv2_aug_pixels-True-contrast-0.8,drqv2_aug_pixels-True-contrast-2.5,drqv2_aug_pixels-True-contrast-0.1,drqv2_aug_pixels-True-contrast-8.5,drqv2_aug_pixels-True-contrast-11.5,drqv2_aug_pixels-True-contrast-0.6,drqv2_aug_pixels-True-contrast-0.7,drqv2_aug_pixels-True-contrast-0.9,drqv2_aug_pixels-True-contrast-13.0,drqv2_aug_pixels-True-contrast-1.6,drqv2_aug_pixels-True-contrast-9.5,drqv2_aug_pixels-True-contrast-10.5,drqv2_aug_pixels-True-contrast-1.1,drqv2_aug_pixels-True-contrast-3.5,drqv2_aug_pixels-True-contrast-1.8,drqv2_aug_pixels-True-contrast-12.0,drqv2_aug_pixels-True-contrast-1.9,drqv2_aug_pixels-True-contrast-1.0,drqv2_aug_pixels-True-contrast-1.7,drqv2_aug_pixels-True-contrast-14.5,drqv2_aug_pixels-True-contrast-15.0,drqv2_aug_pixels-True-contrast-13.5,drqv2_aug_pixels-True-contrast-0.5,drqv2_aug_pixels-True-contrast-0.2,drqv2_aug_pixels-True-contrast-11.0,drqv2_aug_pixels-True-contrast-0.3,drqv2_aug_pixels-True-contrast-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.5,22.7,4.0,3.1,3.2,3.3,3.0,3.6,7.0,4.0,3.1,3.4,3.6,3.5,3.0,5.8,8.2,3.5,4.2,5.7,4.1,4.6,21.7,21.9,3.8,3.2,3.3,4.8,4.8,5.6,5.3,3.9,19.3,3.2
5.1,7.1,18.6,18.4,18.6,18.6,6.9,18.6,18.7,12.3,18.6,1.4,1.4,7.9,8.5,18.6,18.6,18.6,18.6,18.4,18.6,18.7,18.6,18.6,18.6,18.7,18.6,18.6,18.5,12.6,18.6,18.5,18.6,14.9
6.4,33.0,24.0,24.1,24.1,24.1,32.9,24.2,24.0,15.7,24.0,32.8,24.1,7.7,32.4,24.0,24.0,24.1,24.0,24.1,24.0,24.1,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,1.5,24.0
18.1,17.9,24.5,24.5,1.3,1.2,18.0,1.2,1.2,19.0,1.4,17.9,24.5,111.5,17.7,24.5,24.5,24.4,24.5,24.5,24.5,1.2,19.0,24.5,24.5,24.5,24.5,1.3,17.8,17.2,14.9,24.5,1.7,17.9
7.1,5.3,0.0,6.3,0.0,93.4,5.3,5.8,12.8,0.0,11.5,5.3,11.2,6.8,7.2,11.2,11.2,6.9,11.2,11.2,0.0,30.9,11.6,11.2,11.2,11.2,11.2,58.1,11.2,0.0,11.6,11.2,11.1,0.0
11.0,11.1,20.9,83.3,94.6,7.2,11.1,18.7,47.2,0.0,19.7,8.7,19.1,107.5,38.1,21.1,17.1,16.6,18.9,99.3,19.8,7.5,18.9,18.4,7.6,0.0,18.4,20.3,3.3,7.7,18.4,18.4,15.0,4.5
6.7,6.2,6.2,12.6,88.8,1.1,6.2,24.1,26.0,100.0,18.6,6.4,18.5,173.6,14.1,18.9,1.1,18.4,21.4,1.4,19.1,100.0,17.8,18.5,12.5,1.1,13.9,18.2,17.2,7.0,17.7,18.8,22.7,1.4
25.0,1.4,2.0,40.1,192.8,61.6,100.0,34.8,30.7,18.0,24.9,24.8,24.2,195.2,44.2,25.2,3.9,24.2,24.4,100.0,24.7,183.1,24.3,15.2,98.6,2.1,23.1,24.7,25.3,17.4,24.1,18.7,36.4,1.4
18.8,2.0,5.7,5.7,86.3,0.0,26.4,17.1,6.0,17.9,5.8,18.8,0.0,0.0,31.7,5.7,1.0,5.8,5.4,0.0,5.8,0.0,5.5,6.4,92.5,0.0,5.9,5.7,5.6,5.5,5.6,5.7,0.0,11.7
