drqv2_aug_pixels-True-rotate-1.5,drqv2_aug_pixels-True-rotate-8,drqv2_aug_pixels-True-rotate-1,drqv2_aug_pixels-True-rotate-6,drqv2_aug_pixels-True-rotate-0.1,drqv2_aug_pixels-True-rotate-0.6,drqv2_aug_pixels-True-rotate-2.5,drqv2_aug_pixels-True-rotate-0.8,drqv2_aug_pixels-True-rotate-0.9,drqv2_aug_pixels-True-rotate-0.7,drqv2_aug_pixels-True-rotate-11,drqv2_aug_pixels-True-rotate-1.8,drqv2_aug_pixels-True-rotate-1.6,drqv2_aug_pixels-True-rotate-1.1,drqv2_aug_pixels-True-rotate-1.7,drqv2_aug_pixels-True-rotate-1.9,drqv2_aug_pixels-True-rotate-3,drqv2_aug_pixels-True-rotate-4,drqv2_aug_pixels-True-rotate-5,drqv2_aug_pixels-True-rotate-2,drqv2_aug_pixels-True-rotate-14,drqv2_aug_pixels-True-rotate-13,drqv2_aug_pixels-True-rotate-0.5,drqv2_aug_pixels-True-rotate-0.2,drqv2_aug_pixels-True-rotate-2.1,drqv2_aug_pixels-True-rotate-15,drqv2_aug_pixels-True-rotate-0.3,drqv2_aug_pixels-True-rotate-0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,28.1,3.3,37.7,4.0,3.8,4.4,5.5,4.7,4.8,24.1,4.3,24.3,3.2,3.1,4.0,24.3,3.7,3.2,24.6,4.3,3.5,3.8,3.8,3.7,3.2,3.9,3.8
18.6,7.8,18.6,1.4,1.4,18.7,18.6,18.6,18.6,18.6,12.1,18.5,7.9,18.6,7.3,15.9,7.2,1.5,1.4,10.3,18.1,18.7,1.4,18.7,1.4,18.6,18.3,18.6
24.1,33.7,24.0,24.1,101.9,24.0,24.0,24.1,24.1,24.0,15.2,24.1,213.5,24.0,32.8,1.8,33.0,37.9,3.2,33.0,24.0,24.0,24.0,24.0,23.6,24.0,24.1,24.0
24.5,17.9,24.5,17.6,17.9,24.1,24.5,24.5,17.9,17.9,18.0,1.5,17.8,24.5,18.0,1.2,18.0,18.9,17.9,17.9,2.5,54.2,24.3,24.1,24.2,24.4,1.3,24.5
0.0,5.3,11.2,31.0,5.4,11.2,11.2,0.0,0.0,11.2,0.0,2.7,5.3,11.2,5.3,6.4,5.3,5.5,5.3,5.3,0.0,37.0,0.0,11.5,11.2,11.2,91.8,11.2
4.3,11.0,18.4,12.0,85.4,10.1,18.4,186.6,6.3,12.8,0.0,99.3,11.0,18.4,11.1,105.1,10.8,0.5,10.9,11.1,0.0,42.9,3.3,8.3,18.2,18.4,99.4,18.4
14.0,1.0,1.1,32.4,100.0,20.7,18.5,100.0,5.1,18.4,8.1,40.1,6.7,100.0,6.2,6.5,6.2,1.0,100.0,100.0,100.0,42.7,1.1,99.0,18.5,18.5,100.0,18.5
100.0,12.0,28.6,50.7,17.4,100.0,23.3,100.0,194.2,22.5,20.0,129.7,266.5,100.0,24.9,17.9,21.1,1.3,11.8,119.8,2.9,68.0,1.9,1.4,23.5,23.5,98.9,23.5
0.0,7.2,93.5,15.9,0.0,0.0,10.0,92.2,0.0,0.0,0.0,91.2,92.6,0.0,18.7,0.0,13.6,0.0,0.0,0.0,8.9,16.1,0.0,0.0,5.5,5.5,0.0,5.5
0.0,9.9,0.0,2.3,17.4,0.0,12.6,0.0,0.0,0.0,16.0,0.0,91.4,0.0,10.5,10.7,7.5,0.0,15.4,187.3,0.0,0.0,0.0,0.0,6.1,8.4,0.0,6.1
5.7,2.7,100.0,35.8,38.9,7.3,11.7,184.4,185.7,1.9,35.3,100.0,286.1,193.0,29.6,29.6,74.3,3.8,32.0,365.6,2.6,2.1,6.8,8.9,11.7,2.7,1.8,37.6
0.0,7.6,0.0,0.0,13.1,0.0,5.5,0.0,0.0,0.0,12.4,0.0,186.2,0.0,11.2,11.2,76.4,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,9.9,0.0,6.3,16.7,3.0,23.2,0.0,0.0,0.0,6.5,91.6,71.9,0.0,12.9,12.9,188.0,3.0,2.6,96.4,0.0,0.0,0.0,82.4,5.5,0.0,0.0,9.0
0.0,0.0,0.0,0.0,10.4,0.0,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,5.7,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5
0.0,0.0,92.6,0.0,9.6,2.5,34.4,87.5,93.1,92.7,0.0,0.0,87.1,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,11.7,0.0,0.0,11.0
178.2,0.0,274.3,2.2,18.3,166.4,48.0,185.4,270.8,95.4,0.0,371.7,91.7,0.0,11.0,0.0,174.3,73.6,0.0,0.0,0.0,0.6,92.9,276.0,22.0,36.3,0.0,37.5
295.5,9.5,199.4,11.0,214.9,299.0,49.8,299.0,309.9,235.0,12.7,391.8,292.7,200.0,18.0,299.0,188.5,11.4,6.2,370.0,4.4,3.2,200.0,298.2,20.1,27.6,298.9,30.2
349.6,0.9,85.2,105.8,100.0,130.2,755.6,1.1,268.6,182.7,5.9,283.2,100.0,283.8,7.6,100.0,100.0,0.5,0.5,250.5,2.1,0.4,92.6,100.0,16.7,0.3,87.8,37.2
166.2,0.0,0.0,0.0,0.0,0.0,565.9,92.1,93.2,287.9,0.0,92.3,0.0,0.0,12.9,112.9,0.0,0.0,93.0,280.7,0.0,0.0,1.3,76.8,21.1,0.0,0.0,30.8
357.2,2.3,200.0,24.2,200.0,200.0,613.3,200.0,291.8,431.6,5.4,294.3,291.4,187.8,18.3,293.1,284.1,233.2,6.9,339.2,104.2,2.9,292.8,292.2,24.6,2.0,200.0,43.3
271.7,0.0,0.0,0.0,0.0,0.0,782.7,0.0,0.0,220.5,0.0,92.4,91.5,0.0,5.8,74.6,93.2,0.0,1.5,333.7,0.0,0.0,0.0,93.0,12.0,0.0,0.0,45.3
171.5,0.0,0.0,0.0,0.0,0.0,765.7,0.0,0.0,92.2,0.0,92.8,0.0,0.0,0.0,83.7,0.0,0.0,0.0,352.7,0.0,0.0,0.0,91.6,5.6,0.0,0.0,47.2
565.9,0.0,0.0,0.0,0.0,187.3,819.2,92.9,185.6,454.9,0.0,0.0,92.7,185.4,12.0,504.2,91.2,0.0,0.0,564.2,0.0,0.0,0.0,95.3,11.0,0.0,92.5,51.7
347.6,3.5,91.6,35.5,0.0,87.3,219.5,89.1,186.9,700.7,0.0,0.0,98.5,190.8,7.6,289.1,98.5,10.4,2.6,147.6,0.0,0.0,175.3,185.2,10.9,0.0,90.3,50.9
380.7,0.0,0.0,319.2,90.5,185.6,772.1,268.8,142.8,705.0,0.0,0.0,92.8,184.5,5.6,349.2,90.5,8.2,0.0,322.0,0.0,0.0,132.5,266.0,20.8,0.0,90.7,48.6
424.8,37.8,0.0,322.7,100.0,91.6,741.2,167.6,90.2,690.7,0.0,213.4,100.0,54.2,19.5,427.9,100.0,0.3,5.5,603.1,0.0,0.0,276.1,193.0,12.0,0.0,0.0,49.3
557.5,110.9,100.0,178.4,191.0,100.0,759.3,100.0,100.0,732.0,1.8,100.0,92.3,100.0,16.7,408.1,88.8,0.6,4.4,504.4,2.0,0.6,136.8,238.9,23.5,0.6,100.0,49.3
603.2,0.0,0.0,136.3,90.7,61.6,776.4,209.9,193.4,766.9,0.0,146.0,0.0,0.0,11.8,442.1,0.0,2.8,0.0,664.0,0.0,0.0,220.8,292.0,22.8,0.0,92.8,50.8
671.2,35.1,103.5,148.7,177.7,478.2,837.0,484.8,438.4,829.2,2.3,442.7,190.6,478.3,12.9,519.5,188.9,9.8,7.5,673.6,0.8,0.7,473.5,405.6,34.8,3.6,475.6,52.5
669.3,0.0,0.0,73.1,0.0,0.0,736.6,250.0,71.1,753.6,0.0,176.3,0.0,93.3,0.0,437.3,0.0,0.0,20.9,730.7,0.0,0.0,260.9,186.4,23.7,0.0,91.0,48.7
732.0,4.8,100.0,142.6,356.6,193.0,813.4,543.5,576.6,811.3,25.8,333.2,101.4,191.8,12.4,503.9,182.1,65.7,119.3,693.8,1.4,7.7,596.1,422.9,38.1,11.7,264.4,51.1
603.8,0.0,0.0,92.5,0.0,93.5,774.2,432.9,421.8,784.6,0.0,357.7,0.0,93.2,5.1,517.1,0.0,7.4,21.7,723.3,0.0,0.0,457.2,443.6,35.0,0.0,144.3,51.7
724.2,2.0,100.0,110.2,100.0,285.0,765.0,565.1,446.3,788.0,1.4,662.0,100.0,284.4,6.5,536.5,100.0,2.7,106.7,757.1,3.6,6.8,402.8,268.2,40.2,1.3,285.6,49.2
