drqv2_aug_pixels-True-sharp-1,drqv2_aug_pixels-True-sharp-6,drqv2_aug_pixels-True-sharp-8,drqv2_aug_pixels-True-sharp-12,drqv2_aug_pixels-True-sharp-15,drqv2_aug_pixels-True-sharp-23,drqv2_aug_pixels-True-sharp-24,drqv2_aug_pixels-True-sharp-9,drqv2_aug_pixels-True-sharp-7,drqv2_aug_pixels-True-sharp-25,drqv2_aug_pixels-True-sharp-22,drqv2_aug_pixels-True-sharp-14,drqv2_aug_pixels-True-sharp-13,drqv2_aug_pixels-True-sharp-31,drqv2_aug_pixels-True-sharp-30,drqv2_aug_pixels-True-sharp-16,drqv2_aug_pixels-True-sharp-29,drqv2_aug_pixels-True-sharp-11,drqv2_aug_pixels-True-sharp-27,drqv2_aug_pixels-True-sharp-18,drqv2_aug_pixels-True-sharp-5,drqv2_aug_pixels-True-sharp-2,drqv2_aug_pixels-True-sharp-21,drqv2_aug_pixels-True-sharp-26,drqv2_aug_pixels-True-sharp-19,drqv2_aug_pixels-True-sharp-10,drqv2_aug_pixels-True-sharp-17,drqv2_aug_pixels-True-sharp-28,drqv2_aug_pixels-True-sharp-3,drqv2_aug_pixels-True-sharp-4,drqv2_aug_pixels-True-sharp-32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.4,19.9,19.2,5.1,5.1,9.2,5.0,5.0,9.7,5.2,5.6,19.6,19.3,8.1,5.3,6.6,5.1,4.5,4.5,3.6,27.3,5.5,7.9,4.5,3.6,5.1,5.2,4.8,19.1,4.7,3.4
18.6,18.6,18.6,18.6,12.2,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.8,18.6,18.6,18.6,18.6,18.6,1.8,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,2.2,18.6,18.6,18.6
24.0,24.0,24.0,24.0,32.9,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,3.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.1,24.0,24.0,24.0
24.5,24.5,24.5,24.5,18.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,2.0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
11.2,11.2,11.2,11.2,5.3,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,0.0,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
18.4,18.4,18.4,18.4,11.1,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,0.0,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4
18.5,18.5,18.5,18.5,6.2,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,2.1,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
23.5,23.5,23.5,23.5,24.9,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,2.7,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
5.5,5.5,5.5,5.5,18.7,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
