bhattacharyya,chebyshev,cosine_dist,euclidian,frame,hamming,kl_div,manhattan,mu_augment,mu_original,sigma_augment,sigma_original,ssim_dist,step,file
-17.53644228363037,225.31796716308594,0.025959509015083263,29327.32890234375,501.0,559435.826,6044496.614,17136327.714,74.74538760375977,74.90226368713378,33.05498706054688,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-11/seed_2/2024-05-19_17-09-41/augment.csv
-17.537383056640625,225.30998593139648,0.024410962939262343,29185.388234375,501.0,558101.416,5937536.465,17030594.464,74.83330668640137,74.90226368713378,33.120241775512696,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-10/seed_2/2024-05-19_17-09-20/augment.csv
-17.537886867523195,224.9739927368164,0.02272840166091914,28959.816171875,501.0,555161.056,5845932.944,16866973.108,74.8269868774414,74.90226368713378,33.12188467788696,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-9/seed_2/2024-05-19_17-08-57/augment.csv
-17.539156688690184,224.6139708557129,0.019095796227455088,28502.5682265625,501.0,553720.076,5644016.675,16529011.39,74.85357862854003,74.90226368713378,33.134547908782956,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-7/seed_2/2024-05-19_17-08-13/augment.csv
-17.54298851776123,221.12398953247072,0.004389124155044506,26945.4016953125,501.0,501770.114,5016418.964,15340863.464,74.90875051879883,74.90226368713378,33.18986447143555,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-1/seed_2/2024-05-19_17-05-12/augment.csv
-17.539855682373048,224.83594921875,0.01725825703144069,28292.56314453125,501.0,550204.466,5541292.152,16373162.688,74.88402702331543,74.90226368713378,33.15437350845337,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-6/seed_2/2024-05-19_17-07-52/augment.csv
-17.538554389953614,224.87791610717773,0.0211042691469192,28734.92216015625,501.0,556304.254,5742104.413,16706731.706,74.84597776794433,74.90226368713378,33.10024506759643,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-8/seed_2/2024-05-19_17-08-35/augment.csv
-17.53636224746704,225.93994955444336,0.027435429692268327,29527.3260234375,501.0,560900.774,6097269.716,17281408.542,74.80665716552734,74.90226368713378,33.040319107055666,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-12/seed_2/2024-05-19_17-10-03/augment.csv
-17.534524864196776,226.44795156860351,0.031740826368331865,30047.67916015625,501.0,561968.29,6359429.275,17645020.992,74.7229761352539,74.90226368713378,32.977270572662356,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-15/seed_2/2024-05-19_17-11-10/augment.csv
-17.535803649902345,226.25198272705077,0.03057344567775722,29910.54347265625,501.0,560827.862,6219013.06,17550890.368,74.85750575256348,74.90226368713378,32.9994522857666,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-14/seed_2/2024-05-19_17-10-48/augment.csv
-17.535834442138672,226.0718812866211,0.028878674626350357,29733.47028125,501.0,561111.852,6182509.022,17423908.758,74.80035568237305,74.90226368713378,33.065779655456545,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-13/seed_2/2024-05-19_17-10-26/augment.csv
-17.541610816955565,224.2839691772461,0.010937403559684703,27570.5265703125,501.0,532050.786,5248570.341,15821357.496,74.89897714233399,74.90226368713378,33.18736065673828,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-3/seed_2/2024-05-19_17-06-43/augment.csv
-17.541061134338378,224.60798529052735,0.01323202669620509,27819.9690546875,501.0,542848.76,5345231.96,16011340.762,74.90100654602051,74.90226368713378,33.185010284423825,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-4/seed_2/2024-05-19_17-07-07/augment.csv
-17.54028358078003,224.91777352905274,0.015470190405845591,28069.28853125,501.0,548344.808,5462020.699,16201986.276,74.87147816467285,74.90226368713378,33.16425518798828,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-5/seed_2/2024-05-19_17-07-30/augment.csv
-17.54233823013306,223.56996087646485,0.007956358671188307,27272.683078125,501.0,521489.702,5129894.189,15596291.432,74.9106632232666,74.90226368713378,33.188797996521,33.18839166259766,0.0,250.5,exp-pad/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-shift-2/seed_2/2024-05-19_17-06-18/augment.csv
