drqv2_pad_2_pixels-True,drqv2_pad_7_pixels-True,drqv2_pad_4_pixels-True,drqv2_pad_8_pixels-True,drqv2_pad_1_pixels-True,drqv2_pad_6_pixels-True,drqv2_pad_3_pixels-True,drqv2_pixels-True,drqv2_pad_10_pixels-True,drqv2_pad_9_pixels-True,drqv2_pad_5_pixels-True
9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.6,1.9,23.7,2.0,23.7,23.7,27.7,23.7,12.9,23.7,23.7
20.3,4.2,20.3,4.2,20.3,206.5,22.7,20.3,0.8,20.3,20.3
6.1,0.0,6.1,0.0,6.1,520.3,93.1,6.1,6.1,6.1,6.1
16.5,16.5,16.5,17.7,0.0,668.5,279.7,16.5,16.5,16.5,16.5
12.8,8.2,104.5,5.5,0.0,191.9,192.5,0.0,5.5,12.8,12.8
7.4,1.3,100.0,17.5,0.8,100.0,100.0,100.0,13.0,7.4,7.4
5.6,36.2,10.5,24.3,86.4,413.8,92.7,10.1,16.4,22.1,5.6
12.4,112.2,192.4,5.3,188.9,192.1,99.3,19.3,32.2,13.9,13.9
5.6,611.2,93.2,17.2,93.7,342.4,93.6,0.0,43.3,5.6,5.6
22.9,513.7,186.1,5.6,276.8,333.6,278.7,9.6,54.2,16.9,10.7
11.1,378.7,183.9,70.6,185.9,186.2,186.7,92.6,45.1,11.1,11.1
0.0,428.9,0.0,0.0,0.0,168.1,0.0,0.0,45.2,0.0,6.2
5.6,704.9,91.9,252.6,91.9,92.2,93.2,0.0,418.0,5.6,5.6
11.2,816.5,191.9,149.1,184.7,279.2,193.1,179.4,734.3,16.5,11.2
5.7,779.1,176.6,557.2,145.4,177.8,93.6,0.0,407.5,10.6,5.7
10.2,825.1,275.7,644.8,237.5,360.5,100.0,92.3,591.5,16.2,11.0
12.3,833.6,347.4,727.5,92.3,90.4,90.0,88.2,826.3,5.6,5.6
36.2,876.7,625.8,833.7,749.2,547.8,287.9,1.6,873.2,18.3,18.3
8.9,830.6,574.6,780.3,659.8,250.6,187.4,93.3,823.6,39.9,5.4
19.4,800.7,270.4,670.9,485.5,429.5,186.5,229.2,774.3,11.0,11.0
5.9,838.5,285.5,795.3,566.7,306.9,93.5,336.9,838.7,50.5,11.4
25.6,874.5,831.7,544.7,824.3,629.1,380.8,441.4,869.5,52.9,23.2
11.3,841.9,667.5,700.8,663.1,594.5,186.8,405.9,842.9,51.1,29.5
37.1,822.6,802.8,820.6,796.2,665.2,281.2,453.4,826.5,47.6,23.3
36.2,804.1,777.6,798.3,711.3,568.4,94.1,419.3,805.3,50.2,33.4
39.7,799.7,794.3,791.1,606.6,635.4,0.0,387.3,797.2,42.1,7.3
44.9,801.0,798.8,806.6,770.0,553.6,197.0,355.8,803.7,47.6,20.3
25.1,766.8,765.9,769.0,737.1,530.3,100.0,335.8,769.2,45.8,29.5
365.6,795.8,707.3,801.3,756.2,471.0,283.9,554.3,799.1,49.6,37.3
801.0,848.4,843.8,848.7,835.0,731.0,200.0,757.2,847.3,54.0,26.4
741.9,838.7,836.5,837.6,819.0,758.1,216.0,773.6,838.7,53.5,699.7
673.9,794.7,788.3,789.5,735.2,785.1,99.3,734.2,796.4,45.3,465.5
783.2,823.1,823.9,826.7,811.3,821.9,286.7,793.2,824.2,52.8,615.8
797.8,831.7,827.8,828.7,807.0,821.3,200.0,783.5,829.5,46.5,642.9
789.2,830.0,831.2,825.0,791.4,814.7,181.9,776.1,832.4,49.8,772.4
810.5,861.2,860.2,843.2,816.9,850.4,536.7,809.4,853.6,54.7,635.8
838.7,861.3,864.8,856.3,835.2,859.9,463.7,813.5,865.5,56.3,826.2
760.2,871.5,871.7,869.3,826.2,843.7,571.4,824.1,871.1,51.7,838.9
791.9,837.5,836.5,829.8,802.4,810.6,412.9,775.1,828.4,52.8,792.4
829.5,837.2,837.1,839.1,823.5,822.9,516.7,796.1,835.3,54.1,818.3
734.8,767.6,766.9,766.9,732.7,751.0,263.7,724.8,764.9,46.6,735.3
825.0,852.9,854.5,853.1,805.4,838.8,586.0,804.4,855.7,50.9,767.9
822.0,833.9,827.9,828.0,821.6,825.5,610.7,824.2,835.3,50.9,821.9
866.4,900.7,900.5,899.2,858.4,896.8,812.9,838.2,900.1,54.0,868.1
829.0,856.2,829.7,851.3,825.6,854.3,808.5,805.0,863.2,54.8,841.5
749.9,780.1,775.0,781.6,744.5,778.2,727.9,719.7,778.8,48.5,761.6
784.1,832.4,833.7,833.2,800.1,828.2,809.0,789.6,832.9,51.3,822.7
849.4,853.2,853.7,854.9,838.2,849.0,845.2,840.4,851.9,54.5,854.3
849.1,860.2,860.9,859.8,839.0,859.7,840.7,828.5,859.2,58.0,852.9
760.9,800.0,799.1,800.9,776.7,799.9,783.6,753.0,798.4,50.3,796.0
815.9,828.1,828.3,827.8,816.1,829.5,824.6,791.5,831.0,52.5,822.8
846.7,860.1,860.5,861.3,834.6,857.2,833.9,797.4,854.2,53.4,858.2
778.8,779.7,784.0,781.8,746.3,778.4,757.9,707.3,781.0,49.9,776.7
791.4,796.0,796.8,793.7,756.3,794.3,761.7,757.8,797.3,48.1,640.9
874.5,887.9,888.7,885.9,858.1,885.6,862.3,847.3,887.8,55.4,888.7
813.1,819.3,817.9,816.9,784.7,819.7,790.7,776.5,811.6,50.1,818.7
831.9,838.8,839.2,836.1,809.6,835.8,815.4,781.5,837.4,52.4,836.3
823.1,826.0,827.5,825.5,797.1,826.4,804.6,794.9,822.8,51.5,820.5
864.6,865.9,865.0,858.4,843.5,862.5,843.9,846.1,865.5,54.9,862.2
795.2,799.5,800.3,799.0,769.6,799.9,765.6,742.7,800.5,48.9,799.3
791.6,820.9,822.7,826.3,806.2,824.2,810.3,793.2,826.4,50.0,823.1
