drqv2_pad_2_pixels-True,drqv2_pad_7_pixels-True,drqv2_pad_4_pixels-True,drqv2_pad_8_pixels-True,drqv2_pad_1_pixels-True,drqv2_pad_6_pixels-True,drqv2_pad_3_pixels-True,drqv2_pixels-True,drqv2_pad_10_pixels-True,drqv2_pad_9_pixels-True,drqv2_pad_5_pixels-True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.7,4.3,3.2,3.2,4.4,31.1,3.6,3.1,3.5,5.0,4.1
12.8,12.2,1.0,1.0,12.1,12.2,1.0,12.1,12.2,12.1,12.2
462.4,32.9,15.7,32.8,32.9,32.9,32.2,32.9,32.9,32.9,32.9
113.8,12.7,24.5,18.0,18.0,33.7,24.9,17.9,18.0,18.0,36.9
93.7,5.3,11.6,5.3,5.3,327.6,0.0,5.3,8.7,5.3,5.6
193.1,11.1,18.4,11.1,11.1,340.3,201.6,11.0,0.1,16.1,109.3
100.0,6.2,111.5,6.2,6.2,100.0,284.4,13.6,1.4,14.6,263.9
649.0,24.9,59.5,59.7,25.0,537.3,642.0,47.2,1.3,57.5,615.7
723.0,18.8,88.4,277.1,18.7,0.0,572.6,37.5,107.3,276.9,276.8
552.0,49.0,505.3,29.5,10.5,184.9,554.4,24.3,44.0,136.7,186.2
642.1,139.0,365.2,471.5,29.6,553.6,571.0,89.8,451.4,473.3,472.8
590.5,185.3,443.1,185.1,11.2,185.2,748.9,184.4,90.3,184.6,186.0
694.1,191.1,353.2,190.3,12.9,190.5,681.0,1.7,190.9,190.9,191.3
762.7,186.4,497.9,184.4,11.7,185.7,709.0,182.3,187.3,186.7,187.5
634.4,92.9,441.9,91.9,21.4,362.8,778.5,88.8,93.5,92.8,93.4
852.0,187.0,775.8,185.2,33.6,609.6,858.6,185.4,186.7,185.7,188.2
846.0,275.3,836.8,299.0,23.5,521.4,845.5,291.1,299.0,299.0,299.0
823.7,100.0,827.3,100.0,26.6,497.8,827.5,100.0,100.0,100.0,100.0
