drqv2_aug_pixels-True-zoom-1.0,drqv2_aug_pixels-True-zoom-1.9,drqv2_aug_pixels-True-zoom-1.6,drqv2_aug_pixels-True-zoom-1.1,drqv2_aug_pixels-True-zoom-2.0,drqv2_aug_pixels-True-zoom-0.3,drqv2_aug_pixels-True-zoom-0.4,drqv2_aug_pixels-True-zoom-0.5,drqv2_aug_pixels-True-zoom-1.05,drqv2_aug_pixels-True-zoom-0.2,drqv2_aug_pixels-True-zoom-0.95,drqv2_aug_pixels-True-zoom-1.4,drqv2_aug_pixels-True-zoom-1.3,drqv2_aug_pixels-True-zoom-0.85,drqv2_aug_pixels-True-zoom-1.2,drqv2_aug_pixels-True-zoom-1.5,drqv2_aug_pixels-True-zoom-0.9,drqv2_aug_pixels-True-zoom-2.4,drqv2_aug_pixels-True-zoom-0.7,drqv2_aug_pixels-True-zoom-0.1,drqv2_aug_pixels-True-zoom-0.6,drqv2_aug_pixels-True-zoom-2.2,drqv2_aug_pixels-True-zoom-0.8,drqv2_aug_pixels-True-zoom-2.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,38.9,24.6,24.1,38.3,3.5,29.1,4.9,25.5,3.1,3.9,3.9,4.3,4.1,4.2,4.8,26.9,2.8,3.3,3.2,3.7,28.7,5.2,3.6
18.5,12.0,18.6,12.1,18.6,1.4,1.4,18.2,7.5,17.1,18.6,18.6,18.3,1.4,18.7,18.6,1.4,18.3,18.6,12.1,18.6,18.1,1.4,18.7
24.0,14.6,19.7,21.6,207.0,32.9,35.1,24.2,33.0,17.9,3.1,24.1,24.1,202.1,24.0,24.1,24.1,19.5,23.9,32.9,23.8,1.8,24.0,24.0
17.7,12.2,18.7,18.4,205.9,18.7,17.6,24.5,17.9,13.8,1.2,24.4,24.5,17.9,24.5,24.2,34.8,9.5,18.3,17.9,18.3,1.2,24.5,24.2
0.0,5.5,0.0,5.5,98.8,0.0,5.6,11.2,5.3,6.2,0.0,0.0,5.5,5.3,11.2,69.2,13.2,9.2,0.0,0.0,12.0,0.0,11.2,11.2
2.7,11.5,11.5,11.2,111.7,0.0,11.1,19.8,11.1,8.7,0.0,192.3,13.5,11.2,18.4,14.0,2.2,6.5,0.0,3.6,13.2,0.3,18.4,99.4
1.1,1.4,107.4,1.8,111.5,10.5,6.3,18.1,5.3,1.4,1.4,100.0,7.1,6.2,18.1,5.6,1.0,9.9,1.0,1.1,1.0,1.4,18.5,12.7
2.4,12.6,101.6,120.0,192.9,1.3,24.7,23.9,22.0,13.7,3.9,1.4,12.6,18.0,17.8,46.9,4.1,13.0,1.3,4.9,1.3,1.1,17.0,1.6
0.0,93.7,8.0,21.2,0.0,0.0,20.5,5.4,44.8,5.5,0.0,0.0,0.0,6.0,5.5,0.0,243.5,6.2,0.0,5.7,0.0,0.0,0.0,0.0
0.0,11.7,0.0,14.0,0.0,0.0,13.0,0.0,0.0,6.1,0.0,0.0,5.2,10.5,6.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,126.8,106.1,34.8,2.3,0.8,33.4,13.0,42.9,29.6,3.7,2.6,18.1,30.1,11.9,6.5,244.4,1.1,1.7,11.9,1.7,0.7,101.4,4.4
0.0,12.6,0.0,35.2,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,162.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,103.6,0.0,98.2,1.6,5.9,15.0,6.0,184.8,2.3,0.0,0.0,0.7,5.5,5.5,7.6,164.8,6.0,0.0,7.4,0.0,2.5,80.6,0.0
0.0,93.2,0.0,0.0,0.0,0.0,0.0,0.0,186.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,92.9,0.0,0.0,6.9,0.0,69.7,0.0,0.0,0.0,0.8,5.7,5.7,0.0,246.4,0.0,0.0,0.0,0.0,0.0,7.6,0.0
0.0,7.5,3.4,40.0,1.0,0.0,7.7,0.0,186.6,35.8,93.6,0.0,0.0,11.8,22.0,0.0,75.9,24.5,0.0,0.0,0.0,0.0,21.4,0.0
299.0,16.5,42.0,81.3,6.5,9.1,25.8,5.2,291.7,5.8,200.9,4.0,299.0,18.8,26.5,47.5,151.3,3.0,2.9,11.7,4.5,67.8,117.0,298.6
100.0,98.7,192.8,73.2,10.1,18.6,11.2,0.6,84.2,2.7,100.0,0.8,100.0,8.3,17.3,100.0,57.0,0.3,3.1,0.3,0.3,1.4,0.4,92.8
0.0,6.9,0.0,0.0,0.0,7.1,7.5,3.6,183.5,0.0,0.0,1.0,0.0,0.0,5.2,0.0,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,36.1,200.0,10.0,13.0,9.0,31.8,7.7,292.3,2.7,292.3,4.6,200.0,200.0,19.5,200.0,68.4,3.2,3.8,2.4,2.4,4.0,9.0,4.5
0.0,6.2,0.0,0.0,0.0,12.9,8.7,0.7,0.0,0.0,0.0,10.4,2.6,0.0,0.0,0.0,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,5.6,0.0,39.3,0.0,1.6,0.0,0.0,0.0,7.6,0.0
0.0,9.7,0.0,0.0,0.0,11.9,3.3,0.0,0.0,5.9,128.9,0.0,8.2,0.0,11.6,0.0,75.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.7,0.0,11.6,3.9,0.0,3.9,3.7,93.5,0.0,18.3,0.0,15.9,0.0,65.7,0.0,11.8,0.0,0.0,0.0,0.0,0.0
185.6,8.4,2.1,0.0,3.0,11.5,11.1,0.0,84.3,6.0,63.6,10.0,6.9,0.0,23.3,0.0,84.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.6,11.5,15.4,1.8,0.0,6.9,3.8,2.0,100.0,9.6,122.2,0.0,64.9,6.3,14.2,1.1,28.6,0.0,1.3,0.0,0.0,3.9,0.0,0.0
167.5,20.8,2.3,0.6,100.0,1.9,28.0,0.6,192.3,20.1,237.2,31.6,100.0,25.7,18.0,100.0,98.3,1.0,100.0,0.6,0.7,2.8,0.6,3.2
0.0,7.3,0.0,0.0,0.0,6.0,8.8,0.0,90.0,0.0,45.0,0.0,90.5,0.0,19.4,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384.1,106.8,22.9,7.0,101.2,33.2,10.1,0.9,22.5,5.3,24.9,23.6,99.5,37.6,137.4,13.1,122.2,0.8,26.5,10.7,1.0,0.7,28.3,11.2
0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,108.7,0.0,0.0,0.0,21.0,0.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261.9,20.8,2.1,8.1,57.9,14.8,9.3,12.1,100.0,9.9,140.1,12.4,98.6,100.0,69.4,100.0,87.9,1.3,100.0,14.9,1.1,13.1,1.2,100.0
63.8,7.5,0.0,0.0,0.0,6.6,10.0,0.0,0.0,0.0,194.1,5.2,16.2,0.0,31.6,0.0,59.1,0.0,0.0,12.6,2.1,0.0,0.0,0.0
285.2,26.2,49.3,1.4,100.0,18.7,1.1,11.9,100.0,9.3,408.8,3.0,51.8,8.0,339.3,7.9,40.9,1.9,11.9,3.7,1.5,13.7,2.3,100.0
542.4,93.4,0.0,1.5,0.0,5.8,9.1,0.0,0.0,0.0,547.9,0.0,1.3,0.0,107.2,0.0,20.0,0.0,0.0,13.7,0.0,0.0,0.0,0.0
272.4,16.5,10.7,3.7,6.6,14.2,10.1,15.6,199.6,18.0,399.0,9.0,100.0,3.1,187.9,4.5,63.6,3.7,113.5,14.3,15.1,0.8,100.6,102.1
524.9,15.9,5.7,1.3,24.5,13.1,4.9,1.5,100.0,9.8,408.2,1.0,9.6,30.0,226.9,2.3,49.3,2.9,18.3,7.0,8.1,21.4,1.0,100.0
257.3,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,176.7,0.0,0.0,93.8,213.2,0.0,53.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0
242.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.2,0.0,0.0,0.0,393.8,0.0,84.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552.3,16.9,0.0,1.4,0.0,0.0,17.5,0.0,0.0,0.0,108.7,0.0,1.0,0.0,312.2,0.0,31.4,0.0,0.0,0.0,15.1,0.0,0.0,0.0
603.1,46.2,14.5,2.7,2.8,10.4,26.5,13.3,383.3,39.9,784.5,15.5,167.9,8.5,629.4,200.0,139.8,27.3,17.1,24.2,39.9,3.6,2.6,199.0
492.9,9.2,0.0,0.0,0.0,21.2,8.3,0.0,0.0,1.0,465.6,28.4,1.3,0.0,589.9,0.0,48.2,0.0,1.9,0.0,0.0,0.0,0.0,0.0
